contact_no,contact_id,company,nameprefix,first_name,mid_name,last_name,namesuffix,po_addr,cour_addr,city,state_abbr,country,zip_code,countyabbr,biltocntct,phone,phone2,email,web_url,webservice,fed_id_no,san,pubnetid,buyer_id,seller_id,exclude,biography,portrait,comment,author,password,customer,mail_list,sales_rep,supplier,warehouse,employee,approved,entered_by,lupdate
1,"OWNER","Publishers' Assistant","","","","","","41 Lawrence Hts.","","Jericho","VT","","05465","",0,"802-899-2276","","info@pubassist.com","https://pubassist.com"," ","","","","","",F," "," ","",F,"",F,F,F,F,F,F,F,"RWL",12/14/2019
2,"","","","STEVE","","CARLSON","","PO BOX 364","","HINESBURG","VT","","05461","CHIT",0,"802-482-6021","WORK 802-482-2988","",""," ","","","","","",F," "," ","AUTHOR FOR DEMO PROGRAM",T,"",F,F,F,F,F,F,F,"RWL",8/25/2005
3,"","","","THOMAS J","","DEMO","","26 MECHANICSBURG LANE","","HINESBURG","VT","","05461","CHIT",4,"802-555-1111","FAX 802-555-2222","",""," ","","","","","",F," "," ","",F,"",T,T,F,F,F,F,F,"RWL",12/14/2019
4,"","THE DEMONSTRATION CO.","","ACCOUNTS","","PAYABLE","","SUITE #46, 18TH FLOOR||2648 EAST 42ND ST","","HINESBURG","VT","","05461","CHIT",0,"802-555-3333","","",""," ","","","","","",F," "," ","PAYABLE FOR SEVERAL DEMO CUSTOMERS.",F,"",T,T,F,F,T,F,F,"RWL",12/14/2019
5,"","","","S. REP","","DEMO","","18 REPRESENTATIVE DRIVE","","BARRE","VT","","05641","",0,"802-479-5555","FAX  SAME AS PHONE","",""," ","12345","","","","",F," "," ","OUR BEST SAMPLE SALES REP.",F,"",F,F,T,F,F,F,F,"RWL",12/14/2019
6,"","","","SARAH","","DEMO","","21 PERIODICAL LANE","","TEST CITY","CA","","99999","",0,"415-555-5555","","",""," ","","","","","",F," "," ","LONGTIME SUBSCRIBER TO OUR MAGAZINE",F,"",T,T,F,F,F,F,F,"RWL",8/25/2005
7,"","TEST MEDICAL CENTER","","DR. JANE","","DEMO","","PO BOX 1234","364 STANDING ORDER AVENUE||TEST CITY, CO 87777","TEST CITY","CO","","88888","",0,"555-364-5555","FAX 555-364-6666","",""," ","","","","","",F," "," ","STANDING ORDER CUSTOMER. NOTE COURIER ADDRESS FOR ITEMS SHIPPED BY UPS.",F,"",T,T,F,F,F,F,F,"RWL",8/25/2005
10,"","DEMO DISTRIBUTION COMPANY","","","","","","RECEIVING DOCK 10||25 BLUEBERRY LANE","","CORN VALLEY","IL","","66666","",11,"555-612-3333","555-612-4444","",""," ","","","","","",F," "," ","SHIP-TO ADDRESS ONLY",F,"",T,T,F,F,F,F,F,"RWL",8/25/2005
11,"","DEMO DISTRIBUTION COMPANY","","ACCOUNTS","","PAYABLE","","PO BOX 1245","","DEMO CITY","IA","","66777-1245","",0,"555-612-5555","555-612-6666","",""," ","","","","","",F," "," ","BILL-T0 ADDRESS ONLY--DO NOT SHIP TO THIS ADDRESS!",F,"",T,T,F,F,F,F,F,"RWL",8/25/2005
12,"","","","DENNY","","DEMO","","2130 565TH AVE NE, APT 2136-B","","THISTLE JUNCTION","ME","","04444","",0,"555-222-5555","","denny@thistle.com",""," ","","","","","",F," "," ","",F,"",T,T,F,F,F,F,F,"RWL",12/14/2019
13,"","","","U. Otto","","Readmore","","123 Main Street","","Anytown","NY","","12345","",0,"(866) 555-1212","","otto@demotitles.com",""," ","","","","","",F," "," ","",T,"",T,F,F,F,F,F,F,"RWL",3/9/2022
15,"","Upper Access, Inc.","","","","Warehouse","","100 Marshall Ave.","","Williston","VT","","05495","",0,"878-1234","","",""," ","","","","","",F," "," ","",F,"",F,F,F,F,T,F,F,"RWL",11/6/2019
16,"LIS","Lawrence Information Services","","Ron","","Lawrence","","41 Lawrence Heights","","Jericho","VT","","05465","",0,"802-899-2276","","ron@pubassist.com","www.pubassist.com"," ","","","","","",F," "," ","",F,"",T,T,F,F,F,F,F,"RWL",12/12/2023
18,"UAP","UPPER ACCESS, INC.","","","","","","PO BOX 457||87 UPPER ACCESS ROAD","","HINESBURG","VT","","05461-0457","",0,"802-482-2988","FAX 802-482-3125","",""," ","","","","","",F," "," ","ENTERED AS SAMPLE SUPPLIER FOR DEMO PROGRAM",F,"",F,F,F,T,T,F,F,"RWL",11/6/2019
